representation,mean_accuracy,mean_sensitivity,mean_specificity,elapsed_seconds,mtry
X_bot.npz,0.8972,0.2244,1.0,2.2,10
X_bot_feat.npz,0.9038,0.2747,1.0,2.2,10
X_bot_svd.npz,0.9349,0.53,0.9967,6.0,10
X_bot_svd_cos.npz,0.9354,0.528,0.9976,6.5,10
X_bot_svd_feat.npz,0.9467,0.6131,0.9976,6.0,10
X_bot_svd_feat_cos.npz,0.9431,0.5841,0.9979,6.1,10
X_bot_tfidf.npz,0.8972,0.2244,1.0,2.2,10
X_bot_tfidf_feat.npz,0.9038,0.2747,1.0,2.3,10
X_bot_tfidf_svd.npz,0.9238,0.4257,1.0,6.1,10
X_bot_tfidf_svd_cos.npz,0.9218,0.4101,1.0,6.0,10
X_bot_tfidf_svd_feat.npz,0.9436,0.5744,1.0,5.8,10
X_bot_tfidf_svd_feat_cos.npz,0.9405,0.5512,1.0,5.8,10
X_bot.npz,0.9456,0.5899,1.0,2.2,25
X_bot_feat.npz,0.9513,0.6324,1.0,2.3,25
X_bot_svd.npz,0.9579,0.7098,0.9959,10.9,25
X_bot_svd_cos.npz,0.96,0.7214,0.9965,11.0,25
X_bot_svd_feat.npz,0.9603,0.7233,0.9965,10.2,25
X_bot_svd_feat_cos.npz,0.9595,0.7234,0.9956,10.2,25
X_bot_tfidf.npz,0.9444,0.5802,1.0,2.2,25
X_bot_tfidf_feat.npz,0.9503,0.6247,1.0,2.3,25
X_bot_tfidf_svd.npz,0.9633,0.7252,0.9997,9.9,25
X_bot_tfidf_svd_cos.npz,0.9631,0.7233,0.9997,9.9,25
X_bot_tfidf_svd_feat.npz,0.9667,0.7523,0.9994,9.5,25
X_bot_tfidf_svd_feat_cos.npz,0.9638,0.7388,0.9982,9.6,25
X_bot.npz,0.9626,0.7175,1.0,2.6,50
X_bot_feat.npz,0.9631,0.7233,0.9997,2.3,50
X_bot_svd.npz,0.9638,0.7813,0.9917,18.2,50
X_bot_svd_cos.npz,0.9621,0.7697,0.9914,17.7,50
X_bot_svd_feat.npz,0.9641,0.7678,0.9941,16.6,50
X_bot_svd_feat_cos.npz,0.9654,0.7756,0.9944,16.9,50
X_bot_tfidf.npz,0.9595,0.6944,1.0,2.4,50
X_bot_tfidf_feat.npz,0.9636,0.7253,1.0,2.4,50
X_bot_tfidf_svd.npz,0.9703,0.8026,0.9959,16.2,50
X_bot_tfidf_svd_cos.npz,0.9708,0.8123,0.995,16.0,50
X_bot_tfidf_svd_feat.npz,0.9715,0.8123,0.9959,15.0,50
X_bot_tfidf_svd_feat_cos.npz,0.9713,0.8065,0.9965,15.3,50
X_bot.npz,0.9731,0.8026,0.9991,2.3,100
X_bot_feat.npz,0.9713,0.7872,0.9994,2.6,100
X_bot_svd.npz,0.961,0.7852,0.9879,31.8,100
X_bot_svd_cos.npz,0.9623,0.7968,0.9876,31.3,100
X_bot_svd_feat.npz,0.9669,0.8123,0.9905,28.8,100
X_bot_svd_feat_cos.npz,0.9646,0.7949,0.9905,28.9,100
X_bot_tfidf.npz,0.9708,0.7813,0.9997,2.7,100
X_bot_tfidf_feat.npz,0.9715,0.7911,0.9991,2.6,100
X_bot_tfidf_svd.npz,0.9718,0.8297,0.9935,26.9,100
X_bot_tfidf_svd_cos.npz,0.9718,0.8375,0.9923,26.4,100
X_bot_tfidf_svd_feat.npz,0.9733,0.8413,0.9935,25.8,100
X_bot_tfidf_svd_feat_cos.npz,0.9731,0.8433,0.9929,25.5,100
